price;quantity;frequency
2;2;1
25;1;1
33;1;2
33;12;1
39;1;1
44;1;3
45;1;1
46;1;5
48;1;5
48;2;1
49;1;4
50;1;1
50;2;2
50;5;1
50;6;1
51;1;18
51;2;1
52;1;1
53;1;1
54;1;1
55;1;18
59;1;2
63;1;6
64;1;1
65;1;1
66;1;3
67;1;1
68;1;1
69;1;45
71;1;19
73;1;5
73;2;1
74;1;20
75;1;20
78;1;6
79;1;463
79;2;1
79;5;1
79;8;1
79;25;1
79;35;1
84;1;1
84;2;1
85;1;20
85;3;1
85;6;1
85;7;1
85;24;1
87;1;3
89;1;40
89;8;2
90;1;3
91;1;1
94;1;6
95;1;25
96;1;1
96;2;2
98;1;3
98;2;6
99;1;29
100;1;6
100;2;2
104;2;3
105;1;1
108;2;2
109;1;16
110;1;2
110;2;2
111;1;1
114;1;1
115;1;2
118;2;1
119;1;1
126;3;1
129;1;3
130;1;1
130;2;2
132;2;8
135;1;1
138;1;3
138;2;25
139;1;11
140;1;2
140;2;2
142;2;2
145;1;7
146;2;15
147;3;4
148;2;9
149;1;3
150;1;5
150;2;2
152;1;2
153;1;1
154;2;1
156;2;3
158;1;16
158;2;201
158;7;1
159;1;7
160;1;1
160;2;1
162;1;1
162;3;3
164;2;2
165;1;5
165;3;2
169;1;11
170;1;3
170;2;13
176;2;1
177;3;1
178;1;3
178;2;16
179;1;8
180;2;1
182;1;1
185;1;3
189;1;4
190;2;7
196;4;2
197;1;1
198;1;6
198;2;58
198;3;1
199;1;8
200;1;5
200;4;1
202;1;2
207;1;2
207;3;9
208;2;1
210;2;3
216;3;1
216;4;4
218;2;11
219;1;7
219;3;14
220;1;1
220;4;2
222;6;1
225;3;1
229;1;3
230;2;1
231;3;1
234;3;2
236;4;1
237;1;9
237;2;1
237;3;67
238;1;5
240;1;3
242;1;1
245;5;1
246;1;1
246;3;1
246;6;1
248;4;1
249;1;3
250;1;15
252;6;3
255;1;2
255;3;2
260;1;1
260;2;1
261;4;1
263;1;10
264;1;2
264;3;1
264;4;2
267;3;8
269;3;1
275;1;4
275;5;1
276;1;1
276;4;10
278;2;2
279;1;2
280;1;1
280;2;1
282;3;4
283;1;1
285;3;6
288;1;3
292;4;2
294;6;3
294;7;1
296;1;1
296;4;3
297;1;6
297;3;15
298;1;1
299;1;38
299;6;7
300;1;3
300;2;3
300;3;3
300;4;1
300;6;1
308;4;1
310;1;37
310;2;4
310;5;1
312;1;2
312;4;5
312;6;2
314;1;1
315;4;1
316;1;11
316;2;1
316;4;108
318;2;7
318;6;1
319;1;18
319;6;3
320;4;5
324;1;1
324;6;2
327;3;5
329;1;56
329;2;1
330;1;18
330;2;1
330;5;1
330;6;1
333;1;26
333;6;1
336;6;1
338;1;1
338;2;7
340;1;1
340;2;1
340;4;8
342;1;24
342;2;3
342;3;1
345;5;4
349;1;66
349;2;10
349;6;2
350;2;1
352;1;1
352;8;1
354;6;4
356;1;2
356;4;18
358;2;1
359;1;1
360;2;1
365;5;1
369;1;2
370;2;1
370;5;1
372;1;40
372;6;7
375;5;2
378;2;1
379;1;72
379;2;1
380;4;3
384;8;1
385;7;1
386;5;1
387;3;2
390;1;1
390;5;1
390;6;2
392;8;3
395;1;11
395;5;68
396;1;52
396;4;28
396;5;1
396;6;4
396;12;1
396;24;1
398;1;2
398;2;24
399;1;245
399;6;9
400;1;4
400;4;3
400;5;1
403;2;3
405;2;1
413;7;1
414;1;3
414;6;14
415;1;19
415;2;15
417;1;1
419;1;81
420;1;15
420;4;1
420;6;1
420;10;2
425;5;4
426;1;20
429;1;432
429;2;1
429;6;3
429;8;2
429;13;17
432;8;2
436;1;1
436;4;5
438;2;16
438;6;5
439;1;78
439;6;1
440;10;1
445;1;5
445;5;6
447;1;4
447;3;1
448;1;2
449;1;147
449;2;4
449;4;1
449;6;1
450;1;16
450;2;1
459;1;56
465;1;9
468;1;1
468;6;4
469;1;108
469;2;1
469;6;2
472;8;2
474;1;26
474;2;2
474;6;93
475;5;2
476;4;1
477;1;2
477;3;1
478;1;2
479;1;78
480;3;1
480;6;5
487;2;1
489;1;22
489;9;1
490;1;2
490;10;2
495;5;11
495;6;1
496;1;2
496;8;1
497;1;3
498;1;2
498;2;1
499;1;22
499;2;1
499;6;2
500;1;6
500;2;6
500;5;3
500;6;1
501;1;4
504;12;2
510;1;20
510;5;1
510;6;3
516;4;1
520;10;2
526;1;1
526;2;13
527;1;2
529;1;3
534;1;4
534;6;16
538;2;1
539;1;8
540;1;4
540;6;3
540;12;2
545;5;5
546;3;1
546;14;1
549;1;4
550;1;23
552;8;2
553;1;1
553;7;10
555;1;81
555;11;2
555;15;1
556;4;1
558;2;4
561;11;1
569;1;1
570;6;12
572;1;1
576;12;1
577;1;12
579;1;2
579;6;3
584;1;1
588;12;1
590;10;2
594;1;4
594;6;25
595;5;1
595;7;2
597;3;1
598;1;1
598;2;14
599;1;21
599;9;1
600;1;1
600;2;1
600;3;1
600;6;2
600;8;1
600;11;1
600;24;1
602;1;1
